Date,Ativo,Retorno_Acumulado
2016-01-05,BBAS3.SA,0.0035106784933107704
2016-01-06,BBAS3.SA,0.0035106784933107704
2016-01-07,BBAS3.SA,-0.02036530676990078
2016-01-08,BBAS3.SA,-0.02036530676990078
2016-01-11,BBAS3.SA,-0.048455170912042544
2016-01-12,BBAS3.SA,-0.0814606567115902
2016-01-13,BBAS3.SA,-0.0983151582397328
2016-01-14,BBAS3.SA,-0.047752921139777915
2016-01-15,BBAS3.SA,-0.0842695924264254
2016-01-18,BBAS3.SA,-0.08988797084988509
2016-01-19,BBAS3.SA,-0.0983151582397328
2016-01-20,BBAS3.SA,-0.1067417752615677
2016-01-21,BBAS3.SA,-0.10744364478849056
2016-01-22,BBAS3.SA,-0.08707871826393176
2016-01-26,BBAS3.SA,-0.09480371925573827
2016-01-27,BBAS3.SA,-0.10814627480609706
2016-01-28,BBAS3.SA,-0.08848359805380301
2016-01-29,BBAS3.SA,-0.027387614369877245
2016-02-01,BBAS3.SA,-0.005618441797683449
2016-02-02,BBAS3.SA,-0.0800565374124026
2016-02-03,BBAS3.SA,-0.06811810116123129
2016-02-04,BBAS3.SA,-0.03089892660542448
2016-02-05,BBAS3.SA,-0.03862373747456005
2016-02-10,BBAS3.SA,-0.03862373747456005
2016-02-11,BBAS3.SA,-0.08286521963034321
2016-02-12,BBAS3.SA,-0.08707871826393154
2016-02-15,BBAS3.SA,-0.07724734820067258
2016-02-16,BBAS3.SA,-0.05898891749601343
2016-02-17,BBAS3.SA,-0.06179817008196686
2016-02-18,BBAS3.SA,-0.0962079019291493
2016-02-19,BBAS3.SA,-0.08637653186589045
2016-02-22,BBAS3.SA,-0.04424192577534869
2016-02-23,BBAS3.SA,-0.05056166673194207
2016-02-24,BBAS3.SA,-0.0821632867291967
2016-02-25,BBAS3.SA,-0.07865197449364947
2016-02-26,BBAS3.SA,-0.0730339129413079
2016-02-29,BBAS3.SA,-0.049157610806978
2016-03-01,BBAS3.SA,0.005617744681223336
2016-03-02,BBAS3.SA,0.03721917455580703
2016-03-03,BBAS3.SA,0.17362902225107035
2016-03-04,BBAS3.SA,0.28950815645270644
2016-03-07,BBAS3.SA,0.2902152860401923
2016-03-08,BBAS3.SA,0.4308238028007101
2016-03-09,BBAS3.SA,0.43435640877540393
2016-03-10,BBAS3.SA,0.5191464303264424
2016-03-11,BBAS3.SA,0.6145346500469038
2016-03-14,BBAS3.SA,0.5753830686635635
2016-03-15,BBAS3.SA,0.24185619045120332
2016-03-16,BBAS3.SA,0.28372487829931003
2016-03-17,BBAS3.SA,0.46822904407715327
2016-03-18,BBAS3.SA,0.44481024046335227
2016-03-21,BBAS3.SA,0.468938708633585
2016-03-22,BBAS3.SA,0.44764953243131567
2016-03-23,BBAS3.SA,0.3937175611114474
2016-03-24,BBAS3.SA,0.34759126617009195
2016-03-28,BBAS3.SA,0.4263608632228355
2016-03-29,BBAS3.SA,0.4689387086335848
2016-03-30,BBAS3.SA,0.43842427344304435
2016-03-31,BBAS3.SA,0.40294269335127075
2016-04-01,BBAS3.SA,0.40294269335127075
2016-04-04,BBAS3.SA,0.3234638119874371
2016-04-05,BBAS3.SA,0.30217514277895696
2016-04-06,BBAS3.SA,0.2901114790618535
2016-04-07,BBAS3.SA,0.32985041274998106
2016-04-08,BBAS3.SA,0.4831311125230888
2016-04-11,BBAS3.SA,0.5285481231533542
2016-04-12,BBAS3.SA,0.5682874370868238
2016-04-13,BBAS3.SA,0.5846079474064922
2016-04-14,BBAS3.SA,0.5562230128790364
2016-04-15,BBAS3.SA,0.6108654092460204
2016-04-18,BBAS3.SA,0.5668681079739601
2016-04-19,BBAS3.SA,0.5597710821643005
2016-04-20,BBAS3.SA,0.5491271278054024
2016-04-22,BBAS3.SA,0.5093879406203803
2016-04-25,BBAS3.SA,0.47603472045566564
2016-04-26,BBAS3.SA,0.5434503183477377
2016-04-27,BBAS3.SA,0.582479714227881
2016-04-28,BBAS3.SA,0.5434503183477379
2016-04-29,BBAS3.SA,0.5689968481463612
2016-05-02,BBAS3.SA,0.5292574074644445
2016-05-03,BBAS3.SA,0.45048793716014823
2016-05-04,BBAS3.SA,0.4817120369071204
2016-05-05,BBAS3.SA,0.45616500011470795
2016-05-06,BBAS3.SA,0.46822904407715327
2016-05-09,BBAS3.SA,0.4370049443301811
2016-05-10,BBAS3.SA,0.5221610153970218
2016-05-11,BBAS3.SA,0.4533265953858754
2016-05-12,BBAS3.SA,0.4121679523395423
2016-05-13,BBAS3.SA,0.37384809426738363
2016-05-16,BBAS3.SA,0.3525590448135616
2016-05-17,BBAS3.SA,0.28727256733923223
2016-05-18,BBAS3.SA,0.2886913894583065
2016-05-19,BBAS3.SA,0.2581778415068974
2016-05-20,BBAS3.SA,0.22837269062744703
2016-05-23,BBAS3.SA,0.20637397661719326
2016-05-24,BBAS3.SA,0.14298036045483964
2016-05-25,BBAS3.SA,0.17659709064149087
2016-05-27,BBAS3.SA,0.15370872927963952
2016-05-30,BBAS3.SA,0.17373612468903898
2016-05-31,BBAS3.SA,0.1780277003661641
2016-06-01,BBAS3.SA,0.18518036874418842
2016-06-02,BBAS3.SA,0.20878422509104722
2016-06-03,BBAS3.SA,0.23739388461556543
2016-06-06,BBAS3.SA,0.22451966457797945
2016-06-07,BBAS3.SA,0.21021483481572023
2016-06-08,BBAS3.SA,0.24812301393104907
2016-06-09,BBAS3.SA,0.24454667974203703
2016-06-10,BBAS3.SA,0.18375001251640977
2016-06-13,BBAS3.SA,0.19376364684688574
2016-06-14,BBAS3.SA,0.16186816057456643
2016-06-15,BBAS3.SA,0.16114721540632493
2016-06-16,BBAS3.SA,0.1676380033925493
2016-06-17,BBAS3.SA,0.15393522875496424
2016-06-20,BBAS3.SA,0.19648607674643848
2016-06-21,BBAS3.SA,0.14311712202947602
2016-06-22,BBAS3.SA,0.13951112870379578
2016-06-23,BBAS3.SA,0.16980134589106277
2016-06-24,BBAS3.SA,0.1460015364446785
2016-06-27,BBAS3.SA,0.12797131631938252
2016-06-28,BBAS3.SA,0.1560988247503723
2016-06-29,BBAS3.SA,0.1892743435919726
2016-06-30,BBAS3.SA,0.2390376852285967
2016-07-01,BBAS3.SA,0.22966197583338066
2016-07-04,BBAS3.SA,0.23543181865136376
2016-07-05,BBAS3.SA,0.22605560226235855
2016-07-06,BBAS3.SA,0.22317118784715628
2016-07-07,BBAS3.SA,0.20802588913085174
2016-07-08,BBAS3.SA,0.24264393205117152
2016-07-11,BBAS3.SA,0.2996193870876036
2016-07-12,BBAS3.SA,0.2830311840472379
2016-07-13,BBAS3.SA,0.30178323657990624
2016-07-14,BBAS3.SA,0.37101881542675663
2016-07-15,BBAS3.SA,0.3890491623004999
2016-07-18,BBAS3.SA,0.43953433634449657
2016-07-19,BBAS3.SA,0.5094914941018249
2016-07-20,BBAS3.SA,0.5397824717797757
2016-07-21,BBAS3.SA,0.5109336379352025
2016-07-22,BBAS3.SA,0.486412122829893
2016-07-25,BBAS3.SA,0.5361759714603063
2016-07-26,BBAS3.SA,0.546273133017553
2016-07-27,BBAS3.SA,0.5491583079234392
2016-07-28,BBAS3.SA,0.4907395683176039
2016-07-29,BBAS3.SA,0.5181456245865632
2016-08-01,BBAS3.SA,0.49218247264166526
2016-08-02,BBAS3.SA,0.4568429775593148
2016-08-03,BBAS3.SA,0.4799217150890105
2016-08-04,BBAS3.SA,0.5195885289106246
2016-08-05,BBAS3.SA,0.5304066356361126
2016-08-08,BBAS3.SA,0.5268006423104323
2016-08-09,BBAS3.SA,0.5433882116085613
2016-08-10,BBAS3.SA,0.5051644288594559
2016-08-11,BBAS3.SA,0.5902672655784302
2016-08-12,BBAS3.SA,0.63498183631376
2016-08-15,BBAS3.SA,0.67176385547483
2016-08-16,BBAS3.SA,0.6328183670667995
2016-08-17,BBAS3.SA,0.64147237080309
2016-08-18,BBAS3.SA,0.6393091550530239
2016-08-19,BBAS3.SA,0.6732062528051024
2016-08-22,BBAS3.SA,0.6090179238781788
2016-08-23,BBAS3.SA,0.6387721218818148
2016-08-24,BBAS3.SA,0.6220796048693213
2016-08-25,BBAS3.SA,0.6286113326040237
2016-08-26,BBAS3.SA,0.6619966201259053
2016-08-29,BBAS3.SA,0.728766941672774
2016-08-30,BBAS3.SA,0.7222345801958352
2016-08-31,BBAS3.SA,0.6844954835092043
2016-09-01,BBAS3.SA,0.6590924329529244
2016-09-02,BBAS3.SA,0.7215090720834909
2016-09-05,BBAS3.SA,0.7048166818194448
2016-09-06,BBAS3.SA,0.7432819203606564
2016-09-08,BBAS3.SA,0.7512654248107311
2016-09-09,BBAS3.SA,0.6576416702251306
2016-09-12,BBAS3.SA,0.6656250479267578
2016-09-13,BBAS3.SA,0.6062676093202202
2016-09-14,BBAS3.SA,0.600429702586037
2016-09-15,BBAS3.SA,0.6281616291130041
2016-09-16,BBAS3.SA,0.600429702586037
2016-09-19,BBAS3.SA,0.6062676093202202
2016-09-20,BBAS3.SA,0.6500551419119991
2016-09-21,BBAS3.SA,0.7033301760295123
2016-09-22,BBAS3.SA,0.7113575354423529
2016-09-23,BBAS3.SA,0.674867924949204
2016-09-26,BBAS3.SA,0.6558939358853135
2016-09-27,BBAS3.SA,0.669759709026126
2016-09-28,BBAS3.SA,0.7011412303446445
2016-09-29,BBAS3.SA,0.6515150305279986
2016-09-30,BBAS3.SA,0.6639210418012591
2016-10-03,BBAS3.SA,0.7033301760295128
2016-10-04,BBAS3.SA,0.7077087011414855
2016-10-05,BBAS3.SA,0.746387257319503
2016-10-06,BBAS3.SA,0.8011216730592265
2016-10-07,BBAS3.SA,0.8449094591479003
2016-10-10,BBAS3.SA,0.8573167379056337
2016-10-11,BBAS3.SA,0.8149878264453811
2016-10-13,BBAS3.SA,0.8463680802794269
2016-10-14,BBAS3.SA,0.8945348984738626
2016-10-17,BBAS3.SA,1.0054639988146512
2016-10-18,BBAS3.SA,1.0470608112432997
2016-10-19,BBAS3.SA,1.0091119458763878
2016-10-20,BBAS3.SA,1.0507101525379565
2016-10-21,BBAS3.SA,1.0762523728893716
2016-10-24,BBAS3.SA,1.059467583007244
2016-10-25,BBAS3.SA,1.0105715809954923
2016-10-26,BBAS3.SA,0.9952461727355748
2016-10-27,BBAS3.SA,1.097415561135025
2016-10-28,BBAS3.SA,1.064576686169453
2016-10-31,BBAS3.SA,1.1375560339041986
2016-11-01,BBAS3.SA,1.0390337053273542
2016-11-03,BBAS3.SA,0.941971645611851
2016-11-04,BBAS3.SA,0.9616753254868466
2016-11-07,BBAS3.SA,1.0674951959169792
2016-11-08,BBAS3.SA,1.0638464883645589
2016-11-09,BBAS3.SA,0.9908682813658389
2016-11-10,BBAS3.SA,0.8631545178913698
2016-11-11,BBAS3.SA,0.7339811192977959
2016-11-14,BBAS3.SA,0.7821476839953365
2016-11-16,BBAS3.SA,0.8974546757058615
2016-11-17,BBAS3.SA,0.8624244468349227
2016-11-18,BBAS3.SA,0.9171583555808571
2016-11-21,BBAS3.SA,1.0674951959169792
2016-11-22,BBAS3.SA,1.093860393936712
2016-11-23,BBAS3.SA,1.0843362621097077
2016-11-24,BBAS3.SA,1.0286569366953637
2016-11-25,BBAS3.SA,1.0242606668007688
2016-11-28,BBAS3.SA,1.117305561227551
2016-11-29,BBAS3.SA,1.040377999359416
