Date,Ativo,Retorno_Diario
2016-01-05,BBAS3.SA,0.0035112096350298216
2016-01-06,BBAS3.SA,0.0
2016-01-07,BBAS3.SA,-0.023792476200366397
2016-01-08,BBAS3.SA,0.0
2016-01-11,BBAS3.SA,-0.028674342787579965
2016-01-12,BBAS3.SA,-0.03468584514735984
2016-01-13,BBAS3.SA,-0.01834910515377086
2016-01-14,BBAS3.SA,0.056074816436646024
2016-01-15,BBAS3.SA,-0.03834761979829837
2016-01-18,BBAS3.SA,-0.0061355340739013275
2016-01-19,BBAS3.SA,-0.009259220065426788
2016-01-20,BBAS3.SA,-0.0093459717081249
2016-01-21,BBAS3.SA,-0.0007855877003003497
2016-01-22,BBAS3.SA,0.022816414726642087
2016-01-26,BBAS3.SA,-0.008461703791731057
2016-01-27,BBAS3.SA,-0.014739913809663219
2016-01-28,BBAS3.SA,0.022047707471992695
2016-01-29,BBAS3.SA,0.06702568696694411
2016-02-01,BBAS3.SA,0.022382785148007622
2016-02-02,BBAS3.SA,-0.0748587243226092
2016-02-03,BBAS3.SA,0.0129767442388673
2016-02-04,BBAS3.SA,0.039940164201605954
2016-02-05,BBAS3.SA,-0.00797150522590373
2016-02-10,BBAS3.SA,0.0
2016-02-11,BBAS3.SA,-0.046018902663157
2016-02-12,BBAS3.SA,-0.0045940187978361635
2016-02-15,BBAS3.SA,0.010769636254595039
2016-02-16,BBAS3.SA,0.019786272480050382
2016-02-17,BBAS3.SA,-0.002984553278390756
2016-02-18,BBAS3.SA,-0.03667662477533362
2016-02-19,BBAS3.SA,0.010877622252328134
2016-02-22,BBAS3.SA,0.04611859878921676
2016-02-23,BBAS3.SA,-0.006612993637187481
2016-02-24,BBAS3.SA,-0.033284256947341495
2016-02-25,BBAS3.SA,0.003825669390767672
2016-02-26,BBAS3.SA,0.006098196642320808
2016-02-29,BBAS3.SA,0.02575693400511625
2016-03-01,BBAS3.SA,0.05760718950953936
2016-03-02,BBAS3.SA,0.03142473716621308
2016-03-03,BBAS3.SA,0.1315150935224263
2016-03-04,BBAS3.SA,0.09873577895982621
2016-03-07,BBAS3.SA,0.0005476800665318304
2016-03-08,BBAS3.SA,0.1089816115450275
2016-03-09,BBAS3.SA,0.002468671339508788
2016-03-10,BBAS3.SA,0.05911358887732909
2016-03-11,BBAS3.SA,0.06279101913842777
2016-03-14,BBAS3.SA,-0.024249423473398535
2016-03-15,BBAS3.SA,-0.21171179647366545
2016-03-16,BBAS3.SA,0.03371465791414119
2016-03-17,BBAS3.SA,0.1437258019837655
2016-03-18,BBAS3.SA,-0.015950111229891872
2016-03-21,BBAS3.SA,0.01669943928764628
2016-03-22,BBAS3.SA,-0.014492778103405435
2016-03-23,BBAS3.SA,-0.03725496581476384
2016-03-24,BBAS3.SA,-0.03309559453455313
2016-03-28,BBAS3.SA,0.058451622318856034
2016-03-29,BBAS3.SA,0.029850892484380553
2016-03-30,BBAS3.SA,-0.020772715242691753
2016-03-31,BBAS3.SA,-0.02466730375456372
2016-04-01,BBAS3.SA,0.0
2016-04-04,BBAS3.SA,-0.05665149926943114
2016-04-05,BBAS3.SA,-0.016085918129079668
2016-04-06,BBAS3.SA,-0.009263821394269622
2016-04-07,BBAS3.SA,0.03080322518538825
2016-04-08,BBAS3.SA,0.11526053972861261
2016-04-11,BBAS3.SA,0.030622338434077356
2016-04-12,BBAS3.SA,0.025998189633924085
2016-04-13,BBAS3.SA,0.010406924937624407
2016-04-14,BBAS3.SA,-0.01791274620600114
2016-04-15,BBAS3.SA,0.03511144237242014
2016-04-18,BBAS3.SA,-0.027312342057125183
2016-04-19,BBAS3.SA,-0.0045291589926333975
2016-04-20,BBAS3.SA,-0.00682422978334063
2016-04-22,BBAS3.SA,-0.02565306324080685
2016-04-25,BBAS3.SA,-0.022097063210319123
2016-04-26,BBAS3.SA,0.045674054608382475
2016-04-27,BBAS3.SA,0.02528670725632942
2016-04-28,BBAS3.SA,-0.02466305968600402
2016-04-29,BBAS3.SA,0.016550980853861974
2016-05-02,BBAS3.SA,-0.025328035535573834
2016-05-03,BBAS3.SA,-0.051507538653966956
2016-05-04,BBAS3.SA,0.021526087727279597
2016-05-05,BBAS3.SA,-0.017241496317745186
2016-05-06,BBAS3.SA,0.008285063657857972
2016-05-09,BBAS3.SA,-0.02126660743537423
2016-05-10,BBAS3.SA,0.0592589926854572
2016-05-11,BBAS3.SA,-0.04522084422766548
2016-05-12,BBAS3.SA,-0.028320437983620494
2016-05-13,BBAS3.SA,-0.02713553108133293
2016-05-16,BBAS3.SA,-0.01549607702735245
2016-05-17,BBAS3.SA,-0.04826888840205579
2016-05-18,BBAS3.SA,0.0011028420781071802
2016-05-19,BBAS3.SA,-0.02367875169865008
2016-05-20,BBAS3.SA,-0.02368839369907927
2016-05-23,BBAS3.SA,-0.017909175185834125
2016-05-24,BBAS3.SA,-0.05254886941475778
2016-05-25,BBAS3.SA,0.029411311046054323
